,ADMIN0,ADMIN1,year,month,Retail,Wholesale
346,Ethiopia,Dire Dawa,2016,1,0.41755358318201435,0.24238428345882387
347,Ethiopia,Dire Dawa,2016,10,,0.2718918869159003
348,Ethiopia,Dire Dawa,2016,11,,0.17850915166874848
349,Ethiopia,Dire Dawa,2016,12,,0.08842583512514708
350,Ethiopia,Dire Dawa,2016,2,0.4142567258533076,0.25469719738129526
351,Ethiopia,Dire Dawa,2016,3,0.3837166598749504,0.23749217062727723
352,Ethiopia,Dire Dawa,2016,4,0.403734794222193,0.24886716938168726
353,Ethiopia,Dire Dawa,2016,5,,0.21949137160062127
354,Ethiopia,Dire Dawa,2016,6,,0.19027567641040086
355,Ethiopia,Dire Dawa,2016,7,,0.18450184285773238
356,Ethiopia,Dire Dawa,2016,8,,0.18951178602642185
357,Ethiopia,Dire Dawa,2016,9,,0.2348776272084827
358,Ethiopia,Dire Dawa,2017,1,,0.062323433591852995
359,Ethiopia,Dire Dawa,2017,10,0.801658932794606,0.5056498422529675
360,Ethiopia,Dire Dawa,2017,11,0.7889087656529529,0.48976239349933665
361,Ethiopia,Dire Dawa,2017,12,0.7755904050234159,0.399290275453733
362,Ethiopia,Dire Dawa,2017,2,,0.015693470207726563
363,Ethiopia,Dire Dawa,2017,3,,0.020457768162957763
364,Ethiopia,Dire Dawa,2017,4,0.2310904101789535,0.13400159177830825
365,Ethiopia,Dire Dawa,2017,5,0.22559635529460784,0.23744558145653874
366,Ethiopia,Dire Dawa,2017,6,0.3734913884270088,0.2896174020129609
367,Ethiopia,Dire Dawa,2017,7,0.5213735641107813,0.354067951008272
368,Ethiopia,Dire Dawa,2017,8,0.5155176927879487,0.41717707266439347
369,Ethiopia,Dire Dawa,2017,9,0.8114606981968604,0.4866125419497003
370,Ethiopia,Dire Dawa,2018,1,0.4688402408683833,0.2739865241664626
371,Ethiopia,Dire Dawa,2018,10,,0.5952277902145499
372,Ethiopia,Dire Dawa,2018,11,,0.5625995762859279
373,Ethiopia,Dire Dawa,2018,12,,0.51810886641793
374,Ethiopia,Dire Dawa,2018,2,0.45669455196237607,0.2623123762701028
375,Ethiopia,Dire Dawa,2018,3,0.4443318224058391,0.314088510499035
376,Ethiopia,Dire Dawa,2018,4,,0.3393690210683082
377,Ethiopia,Dire Dawa,2018,5,0.4316405735592358,0.3985575309058118
378,Ethiopia,Dire Dawa,2018,6,0.4954336584860252,0.4184504222045102
379,Ethiopia,Dire Dawa,2018,7,0.24515417016860322,0.49161773728261676
380,Ethiopia,Dire Dawa,2018,8,0.00879027077827756,0.538046111551734
381,Ethiopia,Dire Dawa,2018,9,,0.562228932295703
382,Ethiopia,Dire Dawa,2019,1,,0.5295852103062908
383,Ethiopia,Dire Dawa,2019,10,-0.26809753598381814,0.7249474176198847
384,Ethiopia,Dire Dawa,2019,11,-0.35631502145054894,0.9161687319289067
385,Ethiopia,Dire Dawa,2019,12,-0.3459786003174114,0.9758659893534694
386,Ethiopia,Dire Dawa,2019,2,,0.5123778688361237
387,Ethiopia,Dire Dawa,2019,3,,0.46514455031825797
388,Ethiopia,Dire Dawa,2019,4,,0.5037843240494551
389,Ethiopia,Dire Dawa,2019,5,,0.5367583184301111
390,Ethiopia,Dire Dawa,2019,7,-0.13706644046284586,0.687796318098527
391,Ethiopia,Dire Dawa,2019,8,-0.1629363568219546,0.6494933779547737
392,Ethiopia,Dire Dawa,2019,9,-0.1853939079620641,0.6821196326999531
393,Ethiopia,Dire Dawa,2020,1,-0.3941738002416459,0.9081844767064374
394,Ethiopia,Dire Dawa,2020,2,-0.29586701551163525,0.7944563107640527
395,Ethiopia,Dire Dawa,2020,3,-0.2663401311251541,0.7421547826291053
396,Ethiopia,Gambela,2011,11,0.5331927199841193,
397,Ethiopia,Gambela,2011,5,0.22773837434599872,
398,Ethiopia,Gambela,2011,6,0.39872279170129704,
399,Ethiopia,Gambela,2011,7,0.5816073246780267,
400,Ethiopia,Gambela,2011,9,0.4965247635549838,
401,Ethiopia,Gambela,2012,1,0.1887703507287569,
402,Ethiopia,Gambela,2012,2,0.22538897329139185,
403,Ethiopia,Gambela,2013,6,0.13454692934872195,
