,country,admin1,year,month,battle_cnt,protest_cnt,riot_cnt,explosion_cnt,violence_on_civs_cnt,battle_fatal,protest_fatal,riot_fatal,explosion_fatal,violence_on_civs_fatal
223,Somalia,Galgaduud,2010,10,8,0,0,0,4,31.0,0.0,0.0,0.0,8.0
224,Somalia,Galgaduud,2010,9,2,0,0,1,2,1.0,0.0,0.0,0.0,10.0
225,Somalia,Galgaduud,2010,8,1,0,0,0,3,8.0,0.0,0.0,0.0,0.0
226,Somalia,Galgaduud,2010,7,0,0,0,0,1,0.0,0.0,0.0,0.0,2.0
227,Somalia,Galgaduud,2010,6,6,2,0,1,0,40.0,0.0,0.0,0.0,0.0
228,Somalia,Galgaduud,2010,4,22,0,0,0,0,67.0,0.0,0.0,0.0,0.0
229,Somalia,Galgaduud,2010,3,2,0,0,0,0,13.0,0.0,0.0,0.0,0.0
230,Somalia,Galgaduud,2010,2,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
231,Somalia,Galgaduud,2010,1,9,0,0,0,0,108.0,0.0,0.0,0.0,0.0
232,Somalia,Galgaduud,2009,11,1,0,0,0,1,35.0,0.0,0.0,0.0,0.0
233,Somalia,Galgaduud,2009,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
234,Somalia,Galgaduud,2009,9,0,0,0,1,1,0.0,0.0,0.0,0.0,2.0
235,Somalia,Galgaduud,2009,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
236,Somalia,Galgaduud,2009,7,2,0,0,0,0,17.0,0.0,0.0,0.0,0.0
237,Somalia,Galgaduud,2009,5,1,0,0,0,0,5.0,0.0,0.0,0.0,0.0
238,Somalia,Galgaduud,2009,4,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0
239,Somalia,Galgaduud,2009,3,2,0,0,0,1,0.0,0.0,0.0,0.0,2.0
240,Somalia,Galgaduud,2009,2,1,0,0,0,1,7.0,0.0,0.0,0.0,2.0
241,Somalia,Galgaduud,2009,1,1,0,0,1,1,20.0,0.0,0.0,1.0,2.0
242,Somalia,Galgaduud,2008,12,10,0,0,0,0,48.0,0.0,0.0,0.0,0.0
243,Somalia,Galgaduud,2008,11,2,0,0,0,3,4.0,0.0,0.0,0.0,0.0
244,Somalia,Galgaduud,2008,10,2,0,0,0,3,0.0,0.0,0.0,0.0,1.0
245,Somalia,Galgaduud,2008,9,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0
246,Somalia,Galgaduud,2008,7,2,0,0,0,3,0.0,0.0,0.0,0.0,1.0
247,Somalia,Galgaduud,2008,6,5,0,0,0,3,0.0,0.0,0.0,0.0,1.0
248,Somalia,Galgaduud,2008,5,0,0,0,1,5,0.0,0.0,0.0,8.0,1.0
249,Somalia,Galgaduud,2008,4,1,1,0,0,0,15.0,0.0,0.0,0.0,0.0
250,Somalia,Galgaduud,2008,3,3,0,0,0,1,0.0,0.0,0.0,0.0,0.0
251,Somalia,Galgaduud,2008,1,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0
252,Somalia,Galgaduud,2007,11,1,0,0,1,2,2.0,0.0,0.0,0.0,0.0
253,Somalia,Galgaduud,2007,9,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0
254,Somalia,Galgaduud,2007,7,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
255,Somalia,Galgaduud,2007,6,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
256,Somalia,Galgaduud,2007,5,2,0,0,0,0,3.0,0.0,0.0,0.0,0.0
257,Somalia,Galgaduud,2007,3,2,0,0,0,0,12.0,0.0,0.0,0.0,0.0
258,Somalia,Galgaduud,2007,2,1,0,0,0,0,2.0,0.0,0.0,0.0,0.0
259,Somalia,Galgaduud,2007,1,2,0,0,0,1,0.0,0.0,0.0,0.0,5.0
260,Somalia,Galgaduud,2006,12,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0
261,Somalia,Galgaduud,2006,11,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0
262,Somalia,Galgaduud,2006,10,2,1,0,0,0,20.0,0.0,0.0,0.0,0.0
263,Somalia,Galgaduud,2006,9,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
264,Somalia,Galgaduud,2006,8,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0
