,ADMIN0,ADMIN1,month,year,CS,tmin_mm,tmax_mm,tavg_mm,prcp_mm,battle_cnt,protest_cnt,riot_cnt,explosion_cnt,violence_on_civs_cnt,battle_fatal,protest_fatal,riot_fatal,explosion_fatal,violence_on_civs_fatal,Retail,pop
129,Ethiopia,Dire Dawa,10.0,2016.0,2.5,200.14285714285714,343.72,277.83870967741933,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,475000.0
130,Ethiopia,Dire Dawa,4.0,2013.0,3.0,204.5,,279.6,54.5,,,,,,,,,,,0.6968565085233507,440000.0
131,Ethiopia,Dire Dawa,10.0,2019.0,2.0,181.58333333333334,,261.3333333333333,64.44444444444444,0.0,3.0,3.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,-0.2680975359838181,475000.0
132,Ethiopia,Dire Dawa,7.0,2009.0,2.5,203.75,350.06666666666666,281.0740740740741,49.357142857142854,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,396000.0
133,Ethiopia,Dire Dawa,7.0,2010.0,2.5,208.26315789473685,333.57142857142856,267.258064516129,52.56521739130435,,,,,,,,,,,0.9568147034146812,407000.0
134,Ethiopia,Dire Dawa,10.0,2012.0,2.5,183.65,361.8666666666667,274.9,,,,,,,,,,,,2.0820551610511764,428000.0
135,Ethiopia,Dire Dawa,1.0,2013.0,3.0,138.75,280.0,237.5,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.147674638445117,440000.0
136,Ethiopia,Dire Dawa,7.0,2012.0,3.0,201.46153846153845,349.04347826086956,272.72,31.071428571428573,,,,,,,,,,,2.7404367149472835,428000.0
137,Ethiopia,Dire Dawa,1.0,2011.0,2.0,130.45833333333334,,220.19354838709677,,,,,,,,,,,,0.6029824517077104,417000.0
138,Ethiopia,Dire Dawa,10.0,2017.0,2.0,189.05,322.0,270.7826086956522,0.0,,,,,,,,,,,0.801658932794606,475000.0
139,Ethiopia,Dire Dawa,10.0,2013.0,2.0,203.0,337.0,269.4,37.0,,,,,,,,,,,1.984654463729296,440000.0
140,Ethiopia,Dire Dawa,1.0,2014.0,1.5,142.1304347826087,298.65,223.67857142857142,,,,,,,,,,,,1.3053851002014818,451000.0
141,Ethiopia,Dire Dawa,4.0,2014.0,2.0,184.25,333.2608695652174,255.28,147.625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5806983833697041,451000.0
142,Ethiopia,Dire Dawa,7.0,2011.0,2.5,232.8,360.0,278.4,55.25,,,,,,,,,,,2.427918665222344,417000.0
143,Ethiopia,Dire Dawa,7.0,2013.0,2.5,211.52173913043478,334.4761904761905,276.74074074074076,60.588235294117645,,,,,,,,,,,1.9679925402065808,440000.0
144,Ethiopia,Dire Dawa,1.0,2012.0,2.5,145.25,299.5,241.4,,,,,,,,,,,,1.6552346797559092,428000.0
145,Ethiopia,Dire Dawa,4.0,2012.0,2.5,208.35,351.4117647058824,274.88,21.428571428571427,,,,,,,,,,,2.4017992397882137,428000.0
146,Ethiopia,Dire Dawa,10.0,2011.0,2.0,202.0,,276.0,,,,,,,,,,,,2.7979193734997816,417000.0
147,Ethiopia,Dire Dawa,7.0,2014.0,2.0,222.27272727272728,351.39285714285717,280.9,57.333333333333336,,,,,,,,,,,1.5233496946880518,451000.0
148,Ethiopia,Dire Dawa,6.0,2016.0,3.0,226.43478260869566,355.0,293.0769230769231,13.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,475000.0
149,Ethiopia,Gambela,2.0,2018.0,2.6,,,,,,,,,,,,,,,,426000.0
150,Ethiopia,Gambela,2.0,2016.0,2.0,,,,,,,,,,,,,,,,426000.0
151,Ethiopia,Gambela,6.0,2019.0,2.6666666666666665,,,,,,,,,,,,,,,,426000.0
152,Ethiopia,Gambela,7.0,2015.0,2.4,,,,,,,,,,,,,,,-0.10759754853979986,416000.0
153,Ethiopia,Gambela,2.0,2019.0,2.6666666666666665,,,,,,,,,,,,,,,,426000.0
154,Ethiopia,Gambela,10.0,2010.0,2.0,,,,,,,,,,,,,,,,365000.0
155,Ethiopia,Gambela,10.0,2009.0,2.5,,,,,,,,,,,,,,,,356000.0
156,Ethiopia,Gambela,7.0,2009.0,2.5,,,,,,,,,,,,,,,,356000.0
157,Ethiopia,Gambela,1.0,2010.0,2.0,,,,,,,,,,,,,,,,365000.0
158,Ethiopia,Gambela,4.0,2012.0,2.0,,,,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,,385000.0
159,Ethiopia,Gambela,10.0,2018.0,2.5,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,426000.0
160,Ethiopia,Gambela,7.0,2010.0,2.5,,,,,,,,,,,,,,,,365000.0
161,Ethiopia,Gambela,1.0,2011.0,2.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,375000.0
162,Ethiopia,Gambela,6.0,2017.0,2.0,,,,,,,,,,,,,,,,426000.0
163,Ethiopia,Gambela,4.0,2011.0,2.0,,,,,,,,,,,,,,,,375000.0
164,Ethiopia,Gambela,4.0,2010.0,2.5,,,,,,,,,,,,,,,,365000.0
165,Ethiopia,Gambela,7.0,2014.0,2.6666666666666665,,,,,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.22015829467477294,405000.0
166,Ethiopia,Gambela,10.0,2014.0,2.0,,,,,,,,,,,,,,,,405000.0
167,Ethiopia,Gambela,1.0,2015.0,1.8,,,,,,,,,,,,,,,,416000.0
